compound_name,logp_2mg,asi,masi,phb,dmphb,cphb,cdmphb,fsi,tml,ce4,casi,chain_length,self_immolative,tg_linkage,branch_modifications,mw,transport_rate
MPA(O-C6αMe-TG),3.18,0,0,0,0,0,0,0,0,0,0,5,0,1,1,999.42,12.6
MPA(O-C5βMe-TG),2.74,0,0,0,0,0,0,0,0,0,0,4,0,1,1,985.39,12.1
MPA(O-C15Me-TG),8.03,0,0,0,0,0,0,0,0,0,0,14,0,1,1,1125.66,28.4
MPA(O-S-C5-TG),2.99,0,0,0,0,0,0,0,0,0,0,4,0,1,0,987.43,10.2
MPA-C4(ether)-TG,2.16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,943.36,0.24
MPA-C6(ether)-TG,3.22,0,0,0,0,0,0,0,0,0,0,6,0,0,0,971.41,0.31
MPA-C7-TG,3.4,0,0,0,0,0,0,0,0,0,0,6,0,1,0,999.42,7.7
MPA-C12-TG,6.04,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1069.56,19.94
MPA-C18-TG,9.22,0,0,0,0,0,0,0,0,0,0,17,0,1,0,1153.72,6.56
MPA-O-C12α’MeβMe-TG(OMe),6,0,0,0,0,0,0,0,0,0,0,11,0,1,2,1125.62,43.2
MPA-O-CASI-C12α’MeβMe-TG(OMe),5.65,0,0,0,0,0,0,0,0,0,1,11,1,1,2,1199.66,6.8
MPA-O-FSI(5)-C12α’MeβMe-TG(OMe),6.54,0,0,0,0,0,0,1,0,0,0,11,1,1,2,1225.74,15.28
MPA-O-TML-C12-TG,8.48,0,0,0,0,0,0,0,1,0,0,11,1,1,0,1301.84,8.73
MPA-O-C15β-TG,7.28,0,0,0,0,0,0,0,0,0,0,14,0,1,1,1153.67,58.19
MPA-C10-TG,4.98,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1041.5,14.53
MPA(O-C11-2-TG)-OMe,4.76,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1083.54,25.8
MPA-O-C10β-TG,5.38,0,0,0,0,0,0,0,0,0,0,9,0,1,1,1055.33,15.77
MPA-C15β-TG-butyrate,8.03,0,0,0,0,0,0,0,0,0,0,14,0,1,1,789.02,28.1
MPA-(O-C10αMe-2-TG)-OMe,4.54,0,0,0,0,0,0,0,0,0,0,9,0,1,1,1083.54,23.3
MPA-C12βMe-2-TG,6.44,0,0,0,0,0,0,0,0,0,0,11,0,1,1,1083.58,36.9
MPA-(O-TML-C12α’αMe-2-TG)-OMe,9.1,0,0,0,0,0,0,0,1,0,0,11,1,1,2,1329.89,9.5
MPA-(O-C12βMe-2-TG)-OMe,5.69,0,0,0,0,0,0,0,0,0,0,11,0,1,1,1111.59,38.8
MPA-(O-PHB-C12α‘βMe-2-TG)-OMe,7.69,0,0,1,0,0,0,0,0,0,0,11,1,1,2,1231.74,1.4
MPA-(O-C12αMe-2-TG)-OMe,5.6,0,0,0,0,0,0,0,0,0,0,11,0,1,1,1111.59,24.1
MPA-(O-C10α’αMe-2-TG)-OMe,4.85,0,0,0,0,0,0,0,0,0,0,9,0,1,2,1097.57,23.4
MPA-(O-FSI(4)-C12α’βMe-2-TG)-OMe,6.54,0,0,0,0,0,0,1,0,0,0,11,1,1,2,1141.58,25.2
MPA-(O-C10βMe-2-TG)-OMe,4.63,0,0,0,0,0,0,0,0,0,0,9,0,1,1,1083.54,42.2
MPA-(O-C15-2-TG)-OMe,6.88,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1139.65,15.3
MPA-(O-MASI-C12α’βMe-2-TG)-OMe,6.5,0,1,0,0,0,0,0,0,0,0,11,1,1,2,1169.67,48.7
MPA-C8-TG,3.93,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1013.4,10.21
MPA-C15-TG,7.63,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1111.6,22.21
MPA-C4-TG,2.39,0,0,0,0,0,0,0,0,0,0,3,0,1,0,957.34,6.67
MPA-C5-TG,2.34,0,0,0,0,0,0,0,0,0,0,4,0,1,0,971.37,8.01
MPA-C6-TG,2.87,0,0,0,0,0,0,0,0,0,0,5,0,1,0,985.39,9.24
MPA-C21-TG,10.8,0,0,0,0,0,0,0,0,0,0,20,0,1,0,1195.8,9.62
