feature,importance
logp_2mg,0.33932666433450215
mw,0.25164183034013193
chain_length,0.10983668852912638
masi,0.1057618483469233
branch_modifications,0.09878926726518474
self_immolative,0.02512724349564059
tg_linkage,0.0137136775676618
asi,0.01141498202703382
dmphb,0.00973385349068589
phb,0.008616559834760845
cdmphb,0.008150734133106722
cphb,0.0063904483209501
tml,0.005210755786491146
ce4,0.004090882555763173
fsi,0.002194563972037435
casi,0.0
